bodyType,brand,color,engineDisplacement,enginePower,fuelType,mileage,modelDate,model_name,numberOfDoors,sell_id,vehicleTransmission,vendor,pts,gear,wheel,gearbox,price
внедорожник 5 дв.,HONDA,чёрный,2.4,166,GASOLINE,90000,2008,CR_V,5.0,1101213908,AUTOMATIC,JAPANESE,1,ALL_WHEEL_DRIVE,LEFT,AT,769000
внедорожник 5 дв.,HONDA,серый,1.5,190,GASOLINE,49685,2017,CR_V,5.0,1102479648,VARIATOR,JAPANESE,1,ALL_WHEEL_DRIVE,LEFT,CVT,2150000
минивэн,HONDA,фиолетовый,2.0,155,GASOLINE,223000,2005,STEPWAGON,5.0,1102718558,AUTOMATIC,JAPANESE,1,ALL_WHEEL_DRIVE,RIGHT,AT,760000
седан type-s,HONDA,белый,2.4,200,GASOLINE,88600,2010,ACCORD,4.0,1102525810,AUTOMATIC,JAPANESE,1,FORWARD_CONTROL,LEFT,AT,1190000
внедорожник 5 дв.,HONDA,белый,2.0,150,GASOLINE,69560,2012,CR_V,5.0,1102713250,AUTOMATIC,JAPANESE,1,ALL_WHEEL_DRIVE,LEFT,AT,1420000
внедорожник 5 дв.,HONDA,зелёный,2.0,147,GASOLINE,225000,2001,CR_V,5.0,1102517609,AUTOMATIC,JAPANESE,1,ALL_WHEEL_DRIVE,LEFT,AT,339000
хэтчбек 5 дв.,HONDA,коричневый,1.3,83,GASOLINE,108077,2008,JAZZ,5.0,1101593157,VARIATOR,JAPANESE,1,FORWARD_CONTROL,LEFT,CVT,374000
седан,HONDA,синий,1.8,140,GASOLINE,166150,2009,CIVIC,4.0,1102534662,AUTOMATIC,JAPANESE,1,FORWARD_CONTROL,LEFT,AT,590000
седан,HONDA,чёрный,1.8,140,GASOLINE,172621,2008,CIVIC,4.0,1102439637,MECHANICAL,JAPANESE,1,FORWARD_CONTROL,LEFT,MT,467000
внедорожник 5 дв.,HONDA,серый,2.0,150,GASOLINE,134550,2008,CR_V,5.0,1102706854,AUTOMATIC,JAPANESE,1,ALL_WHEEL_DRIVE,LEFT,AT,945000
седан,HONDA,бежевый,2.4,180,GASOLINE,143000,2013,ACCORD,4.0,1102715231,AUTOMATIC,JAPANESE,1,FORWARD_CONTROL,LEFT,AT,1205000
хэтчбек 5 дв.,HONDA,красный,1.3,83,GASOLINE,123946,2007,JAZZ,5.0,1102572630,VARIATOR,JAPANESE,0,FORWARD_CONTROL,LEFT,CVT,455000
внедорожник 5 дв.,HONDA,серый,2.4,166,GASOLINE,227908,2008,CR_V,5.0,1102479577,AUTOMATIC,JAPANESE,1,ALL_WHEEL_DRIVE,LEFT,AT,869000
хэтчбек 5 дв.,HONDA,коричневый,1.8,140,GASOLINE,108154,2011,CIVIC,5.0,1102210972,AUTOMATIC,JAPANESE,1,FORWARD_CONTROL,LEFT,AT,740000
внедорожник 5 дв.,HONDA,чёрный,2.0,150,GASOLINE,108000,2011,CR_V,5.0,1101978929,AUTOMATIC,JAPANESE,1,ALL_WHEEL_DRIVE,LEFT,AT,1055000
внедорожник 5 дв.,HONDA,красный,2.4,166,GASOLINE,150025,2008,CR_V,5.0,1102156211,AUTOMATIC,JAPANESE,1,ALL_WHEEL_DRIVE,LEFT,AT,773000
седан,VOLVO,чёрный,2.5,249,GASOLINE,168929,2012,S80,4.0,1102691852,AUTOMATIC,EUROPEAN,0,FORWARD_CONTROL,LEFT,AT,950000
внедорожник 5 дв.,VOLVO,коричневый,2.4,200,DIESEL,123000,2013,XC90,5.0,1102410016,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,1820000
внедорожник 5 дв.,VOLVO,белый,2.4,200,DIESEL,178000,2012,XC90,5.0,1102665281,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,1645000
внедорожник 5 дв.,VOLVO,белый,2.4,215,DIESEL,134000,2013,XC60,5.0,1102599695,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,1295000
седан,VOLVO,белый,2.0,235,DIESEL,90312,2017,S90,4.0,1101878238,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,2380000
седан,VOLVO,серый,2.0,190,GASOLINE,75445,2017,S60,4.0,1102190107,AUTOMATIC,EUROPEAN,1,FORWARD_CONTROL,LEFT,AT,1570000
внедорожник 5 дв.,VOLVO,чёрный,2.5,210,GASOLINE,224163,2003,XC90,5.0,1102150743,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,515000
внедорожник 5 дв.,VOLVO,коричневый,2.5,210,GASOLINE,107000,2011,XC90,5.0,1102644698,AUTOMATIC,EUROPEAN,0,ALL_WHEEL_DRIVE,LEFT,AT,1040000
внедорожник 5 дв.,VOLVO,белый,2.4,163,DIESEL,106000,2012,XC60,5.0,1101934378,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,1065000
универсал 5 дв.,VOLVO,белый,2.0,235,DIESEL,9924,2018,V90_CROSS_COUNTRY,5.0,1102273713,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,4650000
внедорожник 5 дв.,VOLVO,белый,2.4,163,DIESEL,131402,2012,XC60,5.0,1102441022,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,1149000
универсал 5 дв.,VOLVO,бежевый,2.4,181,DIESEL,76350,2015,XC70,5.0,1102303300,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,1950000
внедорожник 5 дв.,VOLVO,чёрный,2.5,249,GASOLINE,50540,2014,XC60,5.0,1101179452,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,1549000
внедорожник 5 дв.,VOLVO,чёрный,2.5,210,GASOLINE,168000,2007,XC90,5.0,1102561432,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,775000
внедорожник 5 дв.,VOLVO,синий,2.4,190,DIESEL,83000,2015,XC60,5.0,1102478115,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,1800000
седан,VOLVO,коричневый,2.5,249,GASOLINE,116540,2013,S80,4.0,1102532074,AUTOMATIC,EUROPEAN,1,FORWARD_CONTROL,LEFT,AT,1227000
внедорожник 5 дв.,VOLVO,бежевый,2.0,225,DIESEL,171224,2015,XC90,5.0,1102370137,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,2480000
внедорожник 5 дв.,VOLVO,белый,2.0,225,DIESEL,121795,2015,XC90,5.0,1101871400,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,2659000
внедорожник 5 дв.,VOLVO,серебристый,2.5,210,GASOLINE,75000,2014,XC90,5.0,1102445672,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,1620000
внедорожник 5 дв.,VOLVO,серый,2.0,249,GASOLINE,29279,2019,XC90,5.0,1102659554,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,4900000
внедорожник 5 дв.,VOLVO,красный,2.4,163,DIESEL,172755,2012,XC60,5.0,1102106763,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,1120000
внедорожник 5 дв.,VOLVO,красный,2.4,190,DIESEL,126338,2016,XC60,5.0,1101508010,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,1799000
седан,VOLVO,чёрный,1.6,100,GASOLINE,203257,2008,S40,4.0,1102707350,MECHANICAL,EUROPEAN,1,FORWARD_CONTROL,LEFT,MT,440000
хэтчбек 3 дв.,VOLVO,золотистый,2.4,170,GASOLINE,120575,2007,C30,3.0,1102569824,AUTOMATIC,EUROPEAN,1,FORWARD_CONTROL,LEFT,AT,565000
седан,VOLVO,чёрный,2.0,245,GASOLINE,106501,2015,S80,4.0,1102712315,AUTOMATIC,EUROPEAN,1,FORWARD_CONTROL,LEFT,AT,1559000
внедорожник 5 дв.,VOLVO,коричневый,2.0,190,DIESEL,27774,2018,XC60,5.0,1102706936,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,3470000
внедорожник 5 дв.,VOLVO,чёрный,2.4,190,DIESEL,83204,2016,XC60,5.0,1101994279,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,1799000
внедорожник 5 дв.,VOLVO,коричневый,2.4,215,DIESEL,127500,2013,XC60,5.0,1102390060,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,1257000
хэтчбек 5 дв.,VOLVO,чёрный,1.5,152,GASOLINE,94407,2015,V40,5.0,1102520414,AUTOMATIC,EUROPEAN,1,FORWARD_CONTROL,LEFT,AT,1159000
универсал 5 дв.,VOLVO,коричневый,2.4,163,DIESEL,133000,2012,XC70,5.0,1102624650,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,1290000
седан,VOLVO,голубой,2.4,140,GASOLINE,152933,2007,S40,4.0,1102705154,AUTOMATIC,EUROPEAN,1,FORWARD_CONTROL,LEFT,AT,479000
внедорожник 5 дв.,VOLVO,коричневый,2.0,235,DIESEL,87500,2016,XC90,5.0,1101510148,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,3180000
универсал 5 дв.,VOLVO,серый,2.4,181,DIESEL,121349,2014,XC70,5.0,1102140802,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,1750000
седан,VOLVO,серый,2.4,140,GASOLINE,115000,2007,S40,4.0,1102130779,AUTOMATIC,EUROPEAN,1,FORWARD_CONTROL,LEFT,AT,415000
